rdoIdx     armIdx    refApvIdx    apvIdx    sigElecChanId    glbElecChanId    glbGeomChanId
1    0    2    2    47    303    75
1    0    2    2    48    304    460
1    0    2    2    49    305    332
1    0    2    2    50    306    204
1    0    2    2    51    307    76
1    0    2    2    52    308    461
1    0    2    2    53    309    333
1    0    2    2    54    310    205
1    0    2    2    55    311    77
1    0    2    2    56    312    462
1    0    2    2    57    313    334
1    0    2    2    58    314    206
1    0    2    2    59    315    78
1    0    2    2    60    316    463
1    0    2    2    61    317    335
1    0    2    2    62    318    207
1    0    2    2    63    319    79
1    0    2    2    64    320    464
1    0    2    2    65    321    336
1    0    2    2    66    322    208
1    0    2    2    67    323    80
1    0    2    2    68    324    465
1    0    2    2    69    325    337
1    0    2    2    70    326    209
1    0    2    2    71    327    81
1    0    2    2    72    328    466
1    0    2    2    73    329    338
1    0    2    2    74    330    210
1    0    2    2    75    331    82
1    0    2    2    76    332    467
1    0    2    2    77    333    339
1    0    2    2    78    334    211
1    0    2    2    79    335    83
1    0    2    2    80    336    468
1    0    2    2    81    337    340
1    0    2    2    82    338    212
1    0    2    2    83    339    84
1    0    2    2    84    340    469
1    0    2    2    85    341    341
1    0    2    2    86    342    213
1    0    2    2    87    343    85
1    0    2    2    88    344    470
1    0    2    2    89    345    342
1    0    2    2    90    346    214
1    0    2    2    91    347    86
1    0    2    2    92    348    471
1    0    2    2    93    349    343
1    0    2    2    94    350    215
1    0    2    2    95    351    87
1    0    2    2    96    352    472
1    0    2    2    97    353    344
1    0    2    2    98    354    216
1    0    2    2    99    355    88
1    0    2    2    100    356    473
1    0    2    2    101    357    345
1    0    2    2    102    358    217
1    0    2    2    103    359    89
1    0    2    2    104    360    474
1    0    2    2    105    361    346
1    0    2    2    106    362    218
1    0    2    2    107    363    90
1    0    2    2    108    364    475
1    0    2    2    109    365    347
1    0    2    2    110    366    219
1    0    2    2    111    367    91
1    0    2    2    112    368    476
1    0    2    2    113    369    348
1    0    2    2    114    370    220
1    0    2    2    115    371    92
1    0    2    2    116    372    477
1    0    2    2    117    373    349
1    0    2    2    118    374    221
1    0    2    2    119    375    93
1    0    2    2    120    376    478
1    0    2    2    121    377    350
1    0    2    2    122    378    222
1    0    2    2    123    379    94
1    0    2    2    124    380    479
1    0    2    2    125    381    351
1    0    2    2    126    382    223
1    0    2    2    127    383    95
1    0    3    3    0    384    480
1    0    3    3    1    385    352
1    0    3    3    2    386    224
1    0    3    3    3    387    96
1    0    3    3    4    388    481
1    0    3    3    5    389    353
1    0    3    3    6    390    225
1    0    3    3    7    391    97
1    0    3    3    8    392    482
1    0    3    3    9    393    354
1    0    3    3    10    394    226
1    0    3    3    11    395    98
1    0    3    3    12    396    483
1    0    3    3    13    397    355
1    0    3    3    14    398    227
1    0    3    3    15    399    99
1    0    3    3    16    400    484
1    0    3    3    17    401    356
1    0    3    3    18    402    228
1    0    3    3    19    403    100
1    0    3    3    20    404    485
1    0    3    3    21    405    357
1    0    3    3    22    406    229
1    0    3    3    23    407    101
1    0    3    3    24    408    486
1    0    3    3    25    409    358
1    0    3    3    26    410    230
1    0    3    3    27    411    102
1    0    3    3    28    412    487
1    0    3    3    29    413    359
1    0    3    3    30    414    231
1    0    3    3    31    415    103
1    0    3    3    32    416    488
1    0    3    3    33    417    360
1    0    3    3    34    418    232
1    0    3    3    35    419    104
1    0    3    3    36    420    489
1    0    3    3    37    421    361
1    0    3    3    38    422    233
1    0    3    3    39    423    105
1    0    3    3    40    424    490
1    0    3    3    41    425    362
1    0    3    3    42    426    234
1    0    3    3    43    427    106
1    0    3    3    44    428    491
1    0    3    3    45    429    363
1    0    3    3    46    430    235
1    0    3    3    47    431    107
1    0    3    3    48    432    492
1    0    3    3    49    433    364
1    0    3    3    50    434    236
1    0    3    3    51    435    108
1    0    3    3    52    436    493
1    0    3    3    53    437    365
1    0    3    3    54    438    237
1    0    3    3    55    439    109
1    0    3    3    56    440    494
1    0    3    3    57    441    366
1    0    3    3    58    442    238
1    0    3    3    59    443    110
1    0    3    3    60    444    495
1    0    3    3    61    445    367
1    0    3    3    62    446    239
1    0    3    3    63    447    111
1    0    3    3    64    448    496
1    0    3    3    65    449    368
1    0    3    3    66    450    240
1    0    3    3    67    451    112
1    0    3    3    68    452    497
1    0    3    3    69    453    369
1    0    3    3    70    454    241
1    0    3    3    71    455    113
1    0    3    3    72    456    498
1    0    3    3    73    457    370
1    0    3    3    74    458    242
1    0    3    3    75    459    114
1    0    3    3    76    460    499
1    0    3    3    77    461    371
1    0    3    3    78    462    243
1    0    3    3    79    463    115
1    0    3    3    80    464    500
1    0    3    3    81    465    372
1    0    3    3    82    466    244
1    0    3    3    83    467    116
1    0    3    3    84    468    501
1    0    3    3    85    469    373
1    0    3    3    86    470    245
1    0    3    3    87    471    117
1    0    3    3    88    472    502
1    0    3    3    89    473    374
1    0    3    3    90    474    246
1    0    3    3    91    475    118
1    0    3    3    92    476    503
1    0    3    3    93    477    375
1    0    3    3    94    478    247
1    0    3    3    95    479    119
1    0    3    3    96    480    504
1    0    3    3    97    481    376
1    0    3    3    98    482    248
1    0    3    3    99    483    120
1    0    3    3    100    484    505
1    0    3    3    101    485    377
1    0    3    3    102    486    249
1    0    3    3    103    487    121
1    0    3    3    104    488    506
1    0    3    3    105    489    378
1    0    3    3    106    490    250
1    0    3    3    107    491    122
1    0    3    3    108    492    507
1    0    3    3    109    493    379
1    0    3    3    110    494    251
1    0    3    3    111    495    123
1    0    3    3    112    496    508
1    0    3    3    113    497    380
1    0    3    3    114    498    252
1    0    3    3    115    499    124
1    0    3    3    116    500    509
1    0    3    3    117    501    381
1    0    3    3    118    502    253
1    0    3    3    119    503    125
1    0    3    3    120    504    510
1    0    3    3    121    505    382
1    0    3    3    122    506    254
1    0    3    3    123    507    126
1    0    3    3    124    508    511
1    0    3    3    125    509    383
1    0    3    3    126    510    255
1    0    3    3    127    511    127
1    0    4    4    0    512    512
1    0    4    4    1    513    640
1    0    4    4    2    514    768
1    0    4    4    3    515    896
1    0    4    4    4    516    513
1    0    4    4    5    517    641
1    0    4    4    6    518    769
1    0    4    4    7    519    897
1    0    4    4    8    520    514
1    0    4    4    9    521    642
1    0    4    4    10    522    770
1    0    4    4    11    523    898
1    0    4    4    12    524    515
1    0    4    4    13    525    643
1    0    4    4    14    526    771
1    0    4    4    15    527    899
1    0    4    4    16    528    516
1    0    4    4    17    529    644
1    0    4    4    18    530    772
1    0    4    4    19    531    900
1    0    4    4    20    532    517
1    0    4    4    21    533    645
1    0    4    4    22    534    773
1    0    4    4    23    535    901
1    0    4    4    24    536    518
1    0    4    4    25    537    646
1    0    4    4    26    538    774
1    0    4    4    27    539    902
1    0    4    4    28    540    519
1    0    4    4    29    541    647
1    0    4    4    30    542    775
1    0    4    4    31    543    903
1    0    4    4    32    544    520
1    0    4    4    33    545    648
1    0    4    4    34    546    776
1    0    4    4    35    547    904
1    0    4    4    36    548    521
1    0    4    4    37    549    649
1    0    4    4    38    550    777
1    0    4    4    39    551    905
1    0    4    4    40    552    522
1    0    4    4    41    553    650
1    0    4    4    42    554    778
1    0    4    4    43    555    906
1    0    4    4    44    556    523
1    0    4    4    45    557    651
1    0    4    4    46    558    779
1    0    4    4    47    559    907
1    0    4    4    48    560    524
1    0    4    4    49    561    652
1    0    4    4    50    562    780
1    0    4    4    51    563    908
1    0    4    4    52    564    525
1    0    4    4    53    565    653
1    0    4    4    54    566    781
1    0    4    4    55    567    909
1    0    4    4    56    568    526
1    0    4    4    57    569    654
1    0    4    4    58    570    782
1    0    4    4    59    571    910
1    0    4    4    60    572    527
1    0    4    4    61    573    655
1    0    4    4    62    574    783
1    0    4    4    63    575    911
1    0    4    4    64    576    528
1    0    4    4    65    577    656
1    0    4    4    66    578    784
1    0    4    4    67    579    912
1    0    4    4    68    580    529
1    0    4    4    69    581    657
1    0    4    4    70    582    785
1    0    4    4    71    583    913
1    0    4    4    72    584    530
1    0    4    4    73    585    658
1    0    4    4    74    586    786
1    0    4    4    75    587    914
1    0    4    4    76    588    531
1    0    4    4    77    589    659
1    0    4    4    78    590    787
1    0    4    4    79    591    915
1    0    4    4    80    592    532
1    0    4    4    81    593    660
1    0    4    4    82    594    788
1    0    4    4    83    595    916
1    0    4    4    84    596    533
1    0    4    4    85    597    661
1    0    4    4    86    598    789
1    0    4    4    87    599    917
1    0    4    4    88    600    534
1    0    4    4    89    601    662
1    0    4    4    90    602    790
1    0    4    4    91    603    918
1    0    4    4    92    604    535
1    0    4    4    93    605    663
1    0    4    4    94    606    791
1    0    4    4    95    607    919
1    0    4    4    96    608    536
1    0    4    4    97    609    664
1    0    4    4    98    610    792
1    0    4    4    99    611    920
1    0    4    4    100    612    537
1    0    4    4    101    613    665
1    0    4    4    102    614    793
1    0    4    4    103    615    921
1    0    4    4    104    616    538
1    0    4    4    105    617    666
1    0    4    4    106    618    794
1    0    4    4    107    619    922
1    0    4    4    108    620    539
1    0    4    4    109    621    667
1    0    4    4    110    622    795
1    0    4    4    111    623    923
1    0    4    4    112    624    540
1    0    4    4    113    625    668
1    0    4    4    114    626    796
1    0    4    4    115    627    924
1    0    4    4    116    628    541
1    0    4    4    117    629    669
1    0    4    4    118    630    797
1    0    4    4    119    631    925
1    0    4    4    120    632    542
1    0    4    4    121    633    670
1    0    4    4    122    634    798
1    0    4    4    123    635    926
1    0    4    4    124    636    543
1    0    4    4    125    637    671
1    0    4    4    126    638    799
1    0    4    4    127    639    927
1    0    5    5    0    640    928
